Time(dd/mm/yyyy),Time_min,Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa),flag
25/01/2024 2:26:18 AM,0,1152,19.5,53,1020.2,
25/01/2024 2:27:18 AM,1,1134,19.5,52,1020.3,
25/01/2024 2:28:18 AM,2,1141,19.5,52,1020.3,
25/01/2024 2:29:18 AM,3,1166,19.5,52,1020.2,
25/01/2024 2:30:18 AM,4,1131,19.5,52,1020.3,
25/01/2024 2:31:18 AM,5,1150,19.5,52,1020.2,
25/01/2024 2:32:18 AM,6,1151,19.5,52,1020.3,
25/01/2024 2:33:18 AM,7,1155,19.5,53,1020.2,
25/01/2024 2:34:18 AM,8,1137,19.5,52,1020.2,
25/01/2024 2:35:18 AM,9,1162,19.5,53,1020.2,
25/01/2024 2:36:18 AM,10,1180,19.5,53,1020.2,
25/01/2024 2:37:18 AM,11,1177,19.5,53,1020.2,
25/01/2024 2:38:18 AM,12,1174,19.5,53,1020.2,
25/01/2024 2:39:18 AM,13,1189,19.5,53,1020.2,
25/01/2024 2:40:18 AM,14,1179,19.5,53,1020.2,
25/01/2024 2:41:18 AM,15,1193,19.5,53,1020.1,
25/01/2024 2:42:18 AM,16,1194,19.5,53,1020.1,
25/01/2024 2:43:18 AM,17,1176,19.5,53,1020.2,
25/01/2024 2:44:18 AM,18,1190,19.5,53,1020.2,
25/01/2024 2:45:18 AM,19,1187,19.5,53,1020.1,
25/01/2024 2:46:18 AM,20,1191,19.5,53,1020.1,
25/01/2024 2:47:18 AM,21,1188,19.5,53,1020.1,
25/01/2024 2:48:18 AM,22,1194,19.5,53,1020,
25/01/2024 2:49:18 AM,23,1178,19.5,53,1020,
25/01/2024 2:50:18 AM,24,1176,19.5,53,1020,
25/01/2024 2:51:18 AM,25,1147,19.5,52,1020,
25/01/2024 2:52:18 AM,26,1101,19.5,52,1020,
25/01/2024 2:53:18 AM,27,1102,19.5,52,1020.1,
25/01/2024 2:54:18 AM,28,1099,19.5,52,1020,
25/01/2024 2:55:18 AM,29,1110,19.5,52,1020,
25/01/2024 2:56:18 AM,30,1079,19.5,52,1020,
25/01/2024 2:57:18 AM,31,1094,19.5,52,1020,
25/01/2024 2:58:18 AM,32,1080,19.5,52,1020,
25/01/2024 2:59:18 AM,33,1091,19.5,51,1019.9,
25/01/2024 3:00:18 AM,34,1070,19.5,52,1019.9,
25/01/2024 3:01:18 AM,35,1056,19.5,51,1019.9,
25/01/2024 3:02:18 AM,36,1087,19.5,51,1019.9,
25/01/2024 3:03:18 AM,37,1088,19.4,51,1019.8,
25/01/2024 3:04:18 AM,38,1084,19.5,51,1019.8,
25/01/2024 3:05:18 AM,39,1067,19.5,51,1019.7,
25/01/2024 3:06:18 AM,40,1071,19.5,51,1019.7,
25/01/2024 3:07:18 AM,41,1080,19.4,51,1019.7,
25/01/2024 3:08:18 AM,42,1063,19.4,51,1019.6,
25/01/2024 3:09:18 AM,43,1027,19.4,51,1019.7,
25/01/2024 3:10:18 AM,44,1070,19.4,51,1019.7,
25/01/2024 3:11:18 AM,45,1055,19.4,51,1019.7,
25/01/2024 3:12:18 AM,46,1069,19.4,51,1019.7,
25/01/2024 3:13:18 AM,47,1064,19.4,51,1019.6,
25/01/2024 3:14:18 AM,48,1054,19.4,51,1019.7,
